GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sample,madvirus,App,10,27,2,2,3,5,3,2,1,2
sample,madvirus,MessageBuilder,5,27,2,2,1,5,2,2,0,2
